COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","56797","STARLINK-6058","PAYLOAD","U","23078AG","2023-11-08 03:00:05","57856","14.98360406","0.0002823","70","334.0945","264.9697","95.114","0","999","2523","-0.00063252","-0.00007638","0","4077277","0 STARLINK-6058","1 56797U 23078AG  23312.12505854 -.00007638  00000-0 -63252-3 0  9992","2 56797  70.0000 334.0945 0002823 264.9697  95.1140 14.98360406 25232","2023-078AG","56797","6950.099","96.105","573.926","570.002","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55939","STARLINK-5918","PAYLOAD","U","23037AB","2023-11-08 04:23:11","448096","14.98326172","0.0002689","70","273.8978","263.1109","96.9744","0","999","3662","0.00011232","0.00001247","0","4077612","0 STARLINK-5918","1 55939U 23037AB  23312.18277139  .00001247  00000-0  11232-3 0  9991","2 55939  70.0000 273.8978 0002689 263.1109  96.9744 14.98326172 36620","2023-037AB","55939","6950.205","96.107","573.939","570.201","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","56479","STARLINK-6044","PAYLOAD","U","23064AH","2023-11-08 04:02:27","865248","14.98353782","0.0002961","70","113.8097","277.3922","82.69","0","999","2840","-0.00052895","-0.00006402","0","4077507","0 STARLINK-6044","1 56479U 23064AH  23312.16837807 -.00006402  00000-0 -52895-3 0  9993","2 56479  70.0000 113.8097 0002961 277.3922  82.6900 14.98353782 28408","2023-064AH","56479","6950.119","96.105","574.042","569.926","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","56780","STARLINK-5963","PAYLOAD","U","23078P","2023-11-08 03:36:09","509184","14.98324418","0.0002613","70","334.1982","253.3136","106.7736","0","999","2523","-0.000076482","-0.00001005","0","4077096","0 STARLINK-5963","1 56780U 23078P   23312.15011006 -.00001005  00000-0 -76482-4 0  9990","2 56780  70.0000 334.1982 0002613 253.3136 106.7736 14.98324418 25236","2023-078P","56780","6950.210","96.107","573.891","570.259","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","49140","STARLINK-3118","PAYLOAD","U","21082L","2023-11-08 03:31:36","721920","14.98343298","0.0002365","70","244.0132","260.1479","99.9414","0","999","11926","0.00012492","0.00001398","0","4077483","0 STARLINK-3118","1 49140U 21082L   23312.14695280  .00001398  00000-0  12492-3 0  9999","2 49140  70.0000 244.0132 0002365 260.1479  99.9414 14.98343298119264","2021-082L","49140","6950.152","96.106","573.660","570.373","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55742","STARLINK-5594","PAYLOAD","U","23028B","2023-11-08 03:28:22","217376","14.98399703","0.0003056","70","234.1645","253.5904","106.4919","0","999","3833","0.0010254","0.00012185","0","4077204","0 STARLINK-5594","1 55742U 23028B   23312.14470159  .00012185  00000-0  10254-2 0  9991","2 55742  70.0000 234.1645 0003056 253.5904 106.4919 14.98399703 38339","2023-028B","55742","6949.977","96.103","573.966","569.718","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55289","STARLINK-5320","PAYLOAD","U","23010W","2023-11-08 03:24:47","809728","14.98323199","0.0002994","70","14.1226","274.6804","85.4013","0","999","4525","-0.00010421","-0.00001336","0","4077559","0 STARLINK-5320","1 55289U 23010W   23312.14222002 -.00001336  00000-0 -10421-3 0  9995","2 55289  70.0000  14.1226 0002994 274.6804  85.4013 14.98323199 45255","2023-010W","55289","6950.214","96.107","574.160","569.998","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55286","STARLINK-5338","PAYLOAD","U","23010T","2023-11-08 03:18:46","510848","14.98341765","0.0002941","70","14.1094","263.9443","96.1381","0","999","4525","-0.00032632","-0.00003986","0","4077485","0 STARLINK-5338","1 55286U 23010T   23312.13803832 -.00003986  00000-0 -32632-3 0  9998","2 55286  70.0000  14.1094 0002941 263.9443  96.1381 14.98341765 45253","2023-010T","55286","6950.157","96.106","574.066","569.977","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55290","STARLINK-5266","PAYLOAD","U","23010X","2023-11-08 03:12:47","396160","14.98312503","0.0003607","70","14.0916","263.1982","96.8767","0","999","4526","-0.00019459","-0.00002413","0","4077559","0 STARLINK-5266","1 55290U 23010X   23312.13388190 -.00002413  00000-0 -19459-3 0  9994","2 55290  70.0000  14.0916 0003607 263.1982  96.8767 14.98312503 45264","2023-010X","55290","6950.247","96.108","574.619","569.605","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","56781","STARLINK-5989","PAYLOAD","U","23078Q","2023-11-08 03:12:06","322464","14.98331321","0.0002735","70","334.1284","271.9886","88.096","0","999","2523","-0.000018243","-0.00000311","0","4077096","0 STARLINK-5989","1 56781U 23078Q   23312.13340651 -.00000311  00000-0 -18243-4 0  9990","2 56781  70.0000 334.1284 0002735 271.9886  88.0960 14.98331321 25237","2023-078Q","56781","6950.189","96.107","573.955","570.153","0"
